customer_id,first_name,last_name,email,city,country,signup_date,birth_date,phone
CUST0045,Raymond,Moreau,cjacob@example.org,Langlois,France,2024-07-22,1991-10-11,+33 3 20 36 35 62
CUST0046,Pierre,Dumas,marcelleroyer@example.net,Vallet,France,2024-04-17,2002-11-26,+33 3 88 38 42 21
CUST0047,Stéphane,Godard,patriciaauger@example.org,Caron,France,2025-01-23,1989-05-19,0557079556
CUST0048,Élodie,Schmitt,gregoire91@example.org,Dubois-sur-Mer,France,2024-09-03,1967-10-01,+33 (0)2 29 22 08 76
CUST0049,Adélaïde,Hamon,da-silvagregoire@example.org,Lemaire,France,2023-09-01,1968-06-25,0344591857
CUST0050,Jules,Lagarde,alexandrie89@example.com,Seguin-sur-Grondin,France,2023-10-22,1968-02-12,03 28 60 86 18
CUST0051,Stéphane,De Sousa,philippe90@example.net,Guyotnec,France,2023-04-27,1991-06-07,0339116228
CUST0052,Sébastien,Delahaye,margaud18@example.net,Nguyen,France,2024-04-17,1973-02-09,0531186076
CUST0053,Lucie,Didier,pmenard@example.net,LeroyBourg,France,2024-08-30,2007-09-23,0458769650
CUST0054,Thierry,Laroche,khebert@example.net,Martel,France,2025-06-23,1983-02-19,02 46 93 17 55
CUST0055,Dorothée,Dumas,devauxgilles@example.com,Rogernec,France,2024-04-21,1966-04-27,+33 2 58 30 11 60
CUST0056,Julien,Wagner,weisseleonore@example.com,Sainte Madeleine,France,2025-05-12,1989-03-13,0444657997
CUST0057,Isabelle,Renard,alphonsejourdan@example.com,Cousin,France,2023-12-30,1987-07-17,+33 (0)3 86 26 36 21
CUST0058,Édith,Camus,legendreedouard@example.com,Gauthier,France,2024-07-20,1982-04-09,+33 (0)1 73 16 42 81
CUST0059,Laetitia,Roche,eleonore03@example.net,Sainte Valentine,France,2024-10-14,1983-08-25,+33 6 03 10 28 00
CUST0060,Alexandrie,Besnard,augustin01@example.org,Barthelemy,France,2024-02-27,2003-03-06,+33 3 72 78 37 30
CUST0061,Aimée,Guibert,lebretonlaure@example.com,Pascal-sur-Breton,France,2023-05-28,1977-04-14,04 49 79 20 70
CUST0062,Léon,Brunet,stephanecarlier@example.net,Vidalboeuf,France,2023-07-10,1980-03-02,02 35 89 55 53
CUST0063,Daniel,Bonnin,lorraine67@example.org,Dos Santos-sur-Lévy,France,2026-03-09,2000-12-05,0145701452
CUST0064,David,Pineau,gerardrolland@example.org,Foucherboeuf,France,2023-09-02,2008-03-16,+33 (0)1 83 51 82 12
CUST0065,Édouard,Legros,davidguillou@example.com,Dupontnec,France,2025-10-09,1979-04-18,0748613140
CUST0066,Franck,Benoit,jcoulon@example.net,Letellierboeuf,France,2024-05-08,1976-01-01,+33 (0)4 90 99 45 37
CUST0067,Olivie,Laurent,reyjulie@example.com,Saint William,France,2025-03-17,1969-05-29,0632297649
CUST0068,Gilbert,Chauvin,odettelecoq@example.com,Vallet-la-Forêt,France,2025-03-18,1968-12-10,03 22 84 15 10
CUST0069,Marthe,Tanguy,diasdominique@example.org,Saint Frédérique,France,2025-01-13,2000-04-25,+33 (0)4 94 81 30 57
CUST0070,Julie,Perrot,foucheralix@example.com,Sainte Marguerite,France,2025-08-21,1979-09-30,02 22 70 69 52
CUST0071,Bernadette,Schneider,obigot@example.com,Sainte Thibautnec,France,2024-11-21,1973-11-22,+33 (0)2 36 03 88 86
CUST0072,Noël,Chauvin,ballard@example.org,Ponsdan,France,2025-09-09,1994-08-18,0366389438
CUST0073,Pauline,Gaudin,launaythibault@example.org,Sainte Monique,France,2025-05-12,1984-09-17,+33 (0)4 26 88 64 76
CUST0074,Renée,Jourdan,bernieralexandria@example.net,Munoz,France,2024-06-12,1998-11-16,0531275525
CUST0075,Margaud,Allain,qgregoire@example.net,Saint Geneviève-sur-Mer,France,2023-06-07,1994-03-14,05 18 87 71 23
CUST0076,Pauline,Paul,marcelle85@example.org,Carpentier,France,2025-06-09,2001-09-14,03 22 45 49 53
CUST0077,Guillaume,Deschamps,marc81@example.org,Saint Agnès,France,2025-11-28,1988-11-06,02 58 73 14 16
CUST0078,Alphonse,Hubert,dupremargaux@example.com,Faure,France,2024-07-07,1972-12-02,
CUST0079,Augustin,Bonnet,adrienbertin@example.org,Saint Madeleine-les-Bains,France,2023-04-01,1985-04-30,+33 (0)6 15 44 71 82
CUST0080,Denise,Thomas,lpruvost@example.com,Hervé,France,2024-03-03,1969-01-26,+33 (0)1 75 78 25 36
CUST0081,Michelle,Humbert,lsimon@example.org,Mercier,France,2026-02-27,1989-07-17,+33 (0)4 86 88 28 72
CUST0082,Stéphanie,Leroy,genevievemeyer@example.org,Baillynec,France,2025-05-10,1983-09-15,+33 (0)1 56 34 24 42
CUST0083,Franck,Coste,ngregoire@example.org,Lemaître,France,2025-09-30,2000-09-25,+33 2 41 21 81 15
CUST0084,Bernadette,Letellier,jcousin@example.com,Noël,France,2024-02-15,1994-05-16,07 90 39 62 70
CUST0085,Grégoire,Dumont,thibault61@example.net,Humbert-sur-Lemoine,France,2023-10-19,1994-05-12,0175390758
CUST0086,Danielle,Traore,valentine83@example.com,Hoareau,France,2025-09-27,2004-12-18,+33 5 94 21 95 00
CUST0087,Christophe,Brun,legerzacharie@example.org,Pasquier,France,2025-02-28,1999-06-26,01 60 29 25 66
CUST0088,Susanne,Lefebvre,suzannejacob@example.org,Sainte Olivier,France,2025-12-12,1998-09-09,0269757629
CUST0089,Jacqueline,Blanchet,efernandes@example.com,Saint Astrid,France,2024-01-11,1975-08-14,+33 1 46 44 34 75
CUST0090,Gabrielle,Millet,reyaime@example.com,Morel-sur-Caron,France,2025-01-28,1989-05-16,04 23 47 44 68
CUST0091,Laurent,Rey,hchauvet@example.net,Camus-sur-Boulanger,France,2025-01-10,1979-11-23,02 37 19 49 55
CUST0092,Bernard,Grenier,delaunaysophie@example.com,Sainte Patrick,France,2025-05-29,1966-06-22,04 81 03 37 12
CUST0093,Eugène,Louis,ljoubert@example.com,Sainte Pénélopeboeuf,France,2025-12-09,1978-02-12,03 10 42 08 30
CUST0094,Vincent,Menard,ygilbert@example.org,Saint Margot-la-Forêt,France,2023-07-13,2003-12-09,04 73 79 94 00
CUST0095,Véronique,Laroche,hardyzacharie@example.org,Laine,France,2023-07-19,1967-11-13,+33 5 18 54 15 13
CUST0096,Manon,Imbert,ptessier@example.org,BeckerVille,France,2024-07-13,1985-05-21,+33 (0)4 78 12 06 58
CUST0097,Philippe,Renault,cordierjuliette@example.org,Da Silva,France,2025-01-26,1982-02-07,0389925879
CUST0098,Sébastien,Blanchard,celinaroyer@example.com,Saint Lorraine,France,2025-06-28,1996-09-15,+33 3 28 69 03 44
CUST0099,Raymond,Lemonnier,vdubois@example.com,Chrétiendan,France,2024-08-06,2006-05-03,0172907312
CUST0100,Éric,Lesage,margotle-gall@example.net,SimonVille,France,2024-07-23,1984-09-10,+33 (0)4 63 51 89 59
CUST0101,Bertrand,Paris,christianede-sousa@example.com,Bouvet,France,2025-01-24,1977-03-03,+33 6 38 57 39 16
CUST0102,Christelle,Étienne,jchevalier@example.net,Sainte OlivieVille,France,2025-12-22,1974-09-11,+33 (0)4 68 38 94 89
CUST0103,Vincent,Blot,rlaporte@example.net,Besnard,France,2023-12-28,1993-09-18,+33 (0)2 50 19 81 77
CUST0104,Luc,Benoit,stephanieguerin@example.com,Coste,France,2023-11-16,1980-09-18,+33 1 79 93 85 26
CUST0105,Luce,Launay,paulroger@example.com,Langlois,France,2025-03-19,2002-09-13,04 70 63 58 10
CUST0106,Nicole,Garnier,bernardclemence@example.org,Saint Marianne-les-Bains,France,2025-09-06,1969-03-17,0164911762
CUST0107,Victor,Pasquier,michellegauthier@example.org,Saint Anne,France,2024-03-22,2004-06-28,+33 (0)1 58 24 40 28
CUST0108,Émilie,Allain,jpoirier@example.net,Sainte Audrey,France,2026-01-01,1989-07-05,+33 3 87 81 71 36
CUST0109,Charles,Blot,pineauhonore@example.org,Mary,France,2026-01-14,1969-05-14,+33 (0)6 13 03 10 32
CUST0110,Alice,Grégoire,frederiquemahe@example.org,Richard,France,2024-07-19,1995-09-09,02 96 17 91 30
CUST0111,Adélaïde,Bailly,olivierlacombe@example.org,Saint Nathalie,France,2024-09-17,1989-04-19,0355618710
CUST0112,Bernadette,Humbert,cecile27@example.com,Grégoire,France,2025-08-19,1997-08-04,+33 6 99 96 88 38
CUST0113,Margaud,Ferrand,igomez@example.net,Saint Lucie-la-Forêt,France,2024-11-14,1992-01-03,+33 (0)6 34 26 60 15
CUST0114,Anouk,Vallet,legranddorothee@example.org,HoareauVille,France,2025-12-01,1983-01-25,+33 3 66 56 96 97
CUST0115,Charlotte,Thomas,michelleleger@example.com,Ferreira-les-Bains,France,2023-05-21,1971-06-16,03 60 29 86 20
CUST0116,Jeannine,Foucher,dorotheeguillet@example.org,Baron-sur-Besnard,France,2026-01-12,2002-04-25,+33 (0)4 11 77 50 86
CUST0117,Stéphane,Lecoq,francoismathilde@example.org,Lambert,France,2024-01-06,2004-06-20,01 75 79 66 00
CUST0118,Marthe,Bouchet,josephmarcel@example.com,CharrierBourg,France,2023-04-18,1994-08-06,+33 7 98 63 12 93
CUST0119,Laurent,David,rolandbouchet@example.org,Leclerc,France,2024-12-07,1990-05-14,03 67 62 79 15
CUST0120,Jérôme,Antoine,jerome68@example.org,Saint Zoé,France,2024-05-19,1968-04-22,05 79 61 06 60
CUST0121,Julie,Barbe,bessonmartin@example.org,Duhamel,France,2023-08-15,2007-01-25,+33 (0)6 62 50 30 03
CUST0122,Adrien,Guyot,blanccatherine@example.net,Legendredan,France,2024-05-18,1978-05-04,04 32 47 07 85
CUST0123,Alexandria,Gaillard,nmenard@example.net,Diallo,France,2024-04-19,1970-09-06,+33 1 49 24 30 56
CUST0124,Franck,Langlois,adelaidemercier@example.com,Lopes,France,2024-06-12,1998-01-19,+33 (0)5 49 08 60 24
CUST0125,Jean,Daniel,anouk55@example.com,Laine-les-Bains,France,2025-06-05,1999-07-23,0145467493
CUST0126,Susanne,Hebert,delannoyvalentine@example.org,Sainte Luce,France,2026-02-13,2001-05-19,02 46 01 19 72
CUST0127,Roger,Allain,alice70@example.net,Lacombe-sur-Chauvin,France,2026-03-14,1989-10-01,+33 2 58 99 60 49
CUST0128,Alix,Jacquot,daniel53@example.com,Morvan-sur-Gaudin,France,2024-03-01,1969-06-18,+33 (0)5 08 17 85 42
CUST0129,Agnès,Rémy,bretonagnes@example.net,Gauthier,France,2024-07-16,1999-04-03,+33 1 34 21 46 66
CUST0130,Joseph,Hardy,arnaudsimone@example.org,Guillou,France,2025-07-23,1975-08-31,+33 (0)3 22 49 89 35
CUST0131,Luc,Evrard,tristanlaunay@example.net,Saint Élisabeth,France,2024-08-06,1989-12-22,0143424057
CUST0132,Lucie,Fleury,victor93@example.net,Bernier-sur-Le Gall,France,2024-07-22,1977-02-12,+33 (0)3 25 45 27 11
CUST0133,Frédéric,Allain,vvallee@example.com,Paul,France,2025-12-05,1978-11-17,+33 3 79 57 13 76
CUST0134,Noël,Gilbert,charles59@example.org,Sainte Christellenec,France,2024-11-11,1990-04-15,06 37 65 55 85
CUST0135,Odette,Faivre,baroncelina@example.net,Weberboeuf,France,2023-12-31,1995-04-13,01 78 45 18 22
CUST0136,Jules,Verdier,merlealfred@example.net,Saint Patricia,France,2025-09-11,1995-05-25,04 82 60 07 86
CUST0137,Margaret,Humbert,pda-silva@example.net,Lebreton,France,2024-03-23,2005-12-29,+33 (0)2 32 58 67 46
CUST0138,Philippine,Lesage,philipperodrigues@example.com,Saint Hélène,France,2024-12-19,2005-01-14,04 75 86 29 57
CUST0139,Isaac,Roy,pdenis@example.net,Pichon-la-Forêt,France,2025-07-11,1988-02-12,+33 (0)1 58 30 50 13
CUST0140,Pauline,Lebreton,margueritemerle@example.com,Saint StéphanieBourg,France,2025-05-17,1988-09-10,+33 3 73 57 14 78
CUST0141,Susanne,Rousseau,remy46@example.net,LegendreVille,France,2023-07-26,1996-06-08,+33 4 74 31 65 02
CUST0142,Roland,Didier,guillaume19@example.net,ArnaudVille,France,2024-08-16,1983-07-07,06 86 92 02 03
CUST0143,Gabriel,Paul,nvaillant@example.com,Moreno,France,2024-07-05,2002-01-12,+33 (0)3 89 49 47 83
CUST0144,Émilie,Pinto,paulleroy@example.org,Sainte ClémenceBourg,France,2023-06-02,1977-01-03,04 91 87 68 14
CUST0145,Agathe,Petitjean,nathalienicolas@example.com,Renard-sur-Andre,France,2023-12-10,1989-03-29,0244501554
CUST0146,Marc,Philippe,pottierlucie@example.com,Besson-la-Forêt,France,2025-12-30,1978-04-23,+33 (0)1 82 16 33 67
CUST0147,Susanne,Riou,gomesguillaume@example.net,Royer-sur-Mahe,France,2023-06-03,2002-03-29,+33 (0)1 56 73 76 90
CUST0148,Margaux,Robin,odette63@example.org,Martins,France,2024-08-10,1976-03-25,02 97 20 33 71
CUST0149,Thibault,Lenoir,pmoreau@example.com,Saint Virginie,France,2025-01-23,1991-01-18,+33 (0)1 45 89 58 99
CUST0150,Geneviève,Dumas,nathalie01@example.net,Robert,France,2025-11-27,1983-10-29,+33 6 35 07 42 41
CUST0151,Claire,Leduc,guillaume60@example.org,Morvan-sur-Mer,France,2023-12-17,1969-01-15,0169917037
CUST0152,Richard,Henry,laineolivier@example.net,Huet,France,2023-12-07,1987-07-27,04 30 33 29 00
CUST0153,Étienne,Fournier,paul69@example.org,Sainte Suzanne-la-Forêt,France,2023-04-14,1976-05-03,06 33 74 72 22
CUST0154,Élodie,Vallet,richardroche@example.com,Briand,France,2024-04-20,1989-09-19,0299312735
CUST0155,Odette,Chartier,matthieu98@example.org,Rodriguez,France,2026-03-01,1971-05-06,07 92 89 58 76
CUST0156,Daniel,Lacroix,ulamy@example.com,LaurentVille,France,2024-11-02,1971-08-22,+33 2 30 81 97 23
CUST0157,Luc,Lacombe,renee79@example.org,Saint AlexandriaBourg,France,2023-09-23,1990-07-02,+33 6 61 69 41 41
CUST0158,Michel,Guérin,bretoneugene@example.org,MendèsBourg,France,2025-02-13,1983-01-21,+33 4 82 65 08 54
CUST0159,Gilles,David,vincentdumas@example.com,Briand,France,2025-08-20,1975-02-27,+33 1 49 47 33 41
CUST0160,Océane,Marques,sabinesalmon@example.net,Lacroix,France,2023-06-04,1979-06-26,0449916996
CUST0161,Adrien,Bonnin,alice25@example.net,Martinez,France,2026-02-06,1966-07-03,0631578840
CUST0162,Lorraine,Poirier,martinenormand@example.org,Faure,France,2025-12-20,1985-03-20,03 79 32 78 03
CUST0163,Hugues,Legrand,normandadele@example.net,NicolasVille,France,2025-04-10,1998-01-26,+33 5 65 93 94 78
CUST0164,Patricia,Leclerc,odidier@example.com,Hoarauboeuf,France,2024-11-24,1985-12-29,+33 (0)3 53 84 16 09
CUST0165,Jeannine,Lejeune,lorraine51@example.org,Millet-sur-Briand,France,2025-03-15,1989-11-19,+33 2 44 85 22 37
CUST0166,Simone,Paris,emmanuelmaillot@example.com,LopesBourg,France,2024-04-10,1978-01-26,+33 (0)5 94 69 40 98
CUST0167,Julie,Richard,milletmargaret@example.net,Regnier,France,2023-06-24,1969-02-06,+33 4 70 00 59 24
CUST0168,Josette,De Oliveira,helene87@example.org,Alves-les-Bains,France,2023-10-25,1971-07-27,04 79 95 93 87
CUST0169,Lucy,Barre,gerardchristine@example.net,Guyot,France,2025-11-19,1978-08-22,02 50 76 41 86
CUST0170,Suzanne,Brun,ptessier@example.org,Vallet,France,2023-06-07,1970-03-19,05 62 99 65 42
CUST0171,Denise,Bertin,elisebrunel@example.com,Guillou-les-Bains,France,2025-06-14,1971-08-07,02 62 43 47 70
CUST0172,David,Nicolas,sylvie19@example.com,Buisson-sur-Mer,France,2025-04-12,1995-07-02,0800159320
CUST0173,Frédéric,Roux,rossiraymond@example.com,Sainte Pauline-les-Bains,France,2024-04-26,1994-08-01,+33 (0)3 76 09 71 89
CUST0174,Zoé,David,wagnergabriel@example.net,Bonnet,France,2023-09-12,1972-10-25,+33 (0)4 34 77 70 40
CUST0175,Victoire,Richard,christellebonneau@example.com,Goncalves-sur-Gallet,France,2025-12-05,2000-08-15,+33 (0)6 44 67 72 62
CUST0176,Pauline,Boutin,ybreton@example.org,Lefebvrenec,France,2024-11-28,1991-11-19,01 46 67 48 83
CUST0177,Éléonore,Allain,claroche@example.com,Garcia-sur-Duval,France,2025-03-27,1989-06-20,0181802435
CUST0178,Gilbert,Legros,alex87@example.com,Paul,France,2023-04-01,1975-08-03,0361394067
CUST0179,Joseph,Laurent,acoste@example.org,Lemonnier,France,2025-07-31,1986-04-16,+33 3 59 59 18 00
CUST0180,Guillaume,Jean,gilles95@example.org,Sainte Joseph,France,2025-01-24,1983-09-17,04 27 82 51 19
CUST0181,Arthur,Garcia,aimee51@example.com,Guérin,France,2025-04-05,1990-03-30,0375283327
CUST0182,Lucas,Brun,veronique83@example.net,Andre,France,2023-12-02,1993-03-03,+33 (0)2 28 52 47 56
CUST0183,Hélène,Bazin,hoarauguy@example.net,Guillaume,France,2024-10-20,1970-07-03,04 50 10 50 50
CUST0184,Françoise,Baron,penelopelombard@example.com,Saint Thierry-les-Bains,France,2023-05-14,1981-11-26,+33 3 27 34 57 70
CUST0185,Marianne,Gaillard,jlegrand@example.org,Rollandnec,France,2025-08-19,1969-01-06,05 82 56 64 78
CUST0186,Gabriel,Pages,stephaniemarques@example.org,Sainte Christiane,France,2025-12-31,2003-04-10,0357745661
CUST0187,Henri,Texier,umoulin@example.org,MassonBourg,France,2025-10-29,1981-03-17,0149227285
CUST0188,Céline,Valette,laurentlesage@example.com,Lemoine,France,2024-04-28,1992-05-14,+33 5 36 34 80 56
CUST0189,Juliette,Bailly,sauvagetheodore@example.org,Saint Olivier,France,2025-09-07,2004-04-13,0549127124
CUST0190,Vincent,Lamy,paul09@example.org,Charpentier,France,2024-12-21,1995-11-08,+33 5 87 66 87 54
CUST0191,Étienne,Thierry,robert95@example.com,Sainte Victoire,France,2024-01-24,1970-01-19,05 24 13 12 33
CUST0192,Antoine,Carlier,chartierfrancois@example.com,Blondelnec,France,2023-09-24,1970-09-26,0356102491
CUST0193,Nath,Paul,jbailly@example.org,Pierre-la-Forêt,France,2025-01-16,1982-10-28,0768968088
CUST0194,Jérôme,Hamon,xrolland@example.com,Roux,France,2025-02-28,1988-06-20,+33 (0)2 69 34 37 51
CUST0195,Gilbert,Bouvier,andre40@example.net,Arnaud,France,2026-01-22,1994-12-23,+33 (0)2 22 71 30 95
CUST0196,Madeleine,Dupont,palbert@example.org,Hoarau-sur-Mer,France,2025-12-10,1968-10-01,0237052870
CUST0197,Noël,Bonnin,michellemarion@example.com,Rocher-sur-Mer,France,2025-01-02,2002-01-16,+33 (0)4 88 86 76 39
CUST0198,Lucy,Benoit,delmasalexandria@example.net,Salmon-sur-Merle,France,2024-09-20,1971-05-15,+33 (0)3 61 01 06 81
CUST0199,Émilie,Poulain,emilie02@example.org,Voisin,France,2025-06-11,1971-12-25,+33 (0)4 92 23 94 38
CUST0200,Jérôme,Maillot,sylvie46@example.com,Marques,France,2024-03-27,1973-12-18,+33 2 47 30 57 35
